Sujeitos,Itens,Ant,Verbo,RT,Pos
2,P,pp,sg,687,p7
3,P,pp,sg,1456,p7
4,P,pp,sg,472,p7
5,P,pp,sg,952,p7
6,P,pp,sg,1280,p7
7,P,pp,sg,224,p7
8,P,pp,sg,1720,p7
9,P,pp,sg,288,p7
10,P,pp,sg,503,p7
11,P,pp,sg,343,p7
12,P,pp,sg,1112,p7
13,P,pp,sg,752,p7
14,P,pp,sg,504,p7
15,P,pp,sg,639,p7
16,P,pp,sg,672,p7
17,P,pp,sg,2592,p7
18,P,pp,sg,616,p7
19,P,pp,sg,472,p7
20,P,pp,sg,752,p7
21,P,pp,sg,1616,p7
22,P,pp,sg,472,p7
23,P,pp,sg,416,p7
24,P,pp,sg,480,p7
25,P,pp,sg,360,p7
26,P,pp,sg,624,p7
27,P,pp,sg,1447,p7
28,P,pp,sg,728,p7
29,P,pp,sg,552,p7
30,P,pp,sg,368,p7
31,P,pp,sg,584,p7
32,P,pp,sg,168,p7
